T,E
1.3754192923724298,-512.0
1.4513265719638087,-512.0
1.198470033873917,-512.0
1.1961845464608971,-512.0
1.3584450945794977,-448.0
1.2042643218623181,-512.0
1.4665116108001057,-492.0
1.1266916769195936,-504.0
1.2266399582500818,-504.0
1.390647017715758,-492.0
1.3628848173577168,-504.0
1.4282740117872792,-504.0
1.057928362167634,-512.0
1.360347973359176,-504.0
1.0698762418046548,-512.0
1.3588801180018217,-504.0
1.2680340179738185,-512.0
1.3743040097284747,-492.0
1.4859132130304837,-484.0
1.1970628885890489,-512.0
1.3109488866876229,-512.0
1.2095571596581518,-512.0
1.0211752757900836,-512.0
1.1262181452747937,-512.0
1.1732393277035904,-424.0
1.3692901932286914,-504.0
1.3108960149303783,-488.0
1.2387529368138663,-512.0
1.4010129401367968,-504.0
1.1422704375559127,-512.0
1.1694278178048025,-512.0
1.2469954096222595,-416.0
1.0558001841246134,-512.0
1.07533648690662,-512.0
1.1973149440750412,-512.0
1.379043870042687,-500.0
1.009080271957182,-512.0
1.3902905687632923,-500.0
1.252263118511115,-512.0
1.2935619702684904,-512.0
1.4082843817119552,-512.0
1.2292740408992755,-496.0
1.076438561063168,-512.0
1.2905583046104512,-512.0
1.200677778776694,-512.0
1.2505223875516818,-512.0
1.4985173289187865,-512.0
1.1204852875028424,-512.0
1.4889584895369201,-512.0
1.403715802988141,-504.0
1.047035981544698,-512.0
1.1390377728906287,-512.0
1.1696610728682804,-512.0
1.227558921205881,-512.0
1.0219018828936144,-512.0
1.477811628523485,-512.0
1.0655288757786567,-440.0
1.1870920217035914,-512.0
1.1312302579614324,-512.0
1.1217983726793037,-504.0
1.0609608391675562,-512.0
1.1072923364097647,-512.0
1.48961231685364,-512.0
1.3204443172930798,-496.0
1.200225622622639,-512.0
1.479604636422288,-504.0
1.3959872125706871,-512.0
1.1987890969124704,-512.0
1.2980212766171864,-504.0
1.0144997516022347,-432.0
1.2618764743588187,-512.0
1.1980832500296246,-512.0
1.1612461735843327,-504.0
1.3871607080709216,-504.0
1.1670650202507729,-512.0
1.4256673247011018,-512.0
1.0204734801428599,-512.0
1.1156402698434262,-512.0
1.3245745250671372,-504.0
1.356629098155849,-512.0
1.4334007191309632,-504.0
1.430359534162947,-496.0
1.1496916457574127,-512.0
1.3893754519828974,-504.0
1.051701483861276,-504.0
1.4562913720709656,-504.0
1.3187943502392296,-504.0
1.265943045673034,-512.0
1.3984085441625809,-512.0
1.4987900186314587,-488.0
1.3805698509951765,-504.0
1.1740157117047572,-512.0
1.0552942054980552,-512.0
1.2972838044454322,-512.0
1.2168895136612965,-512.0
1.0937968409697456,-436.0
1.0424057956178816,-512.0
1.2355481030715663,-512.0
1.479214590450486,-500.0
1.3549523486406518,-512.0
1.2826180532405944,-504.0
1.2378524631129668,-496.0
1.338810381799897,-504.0
1.2057880010970299,-504.0
1.2807446972071923,-504.0
1.1854611419312193,-512.0
1.0619348874321104,-512.0
1.0327652169591912,-512.0
1.0814357502772776,-428.0
1.2346634670952006,-504.0
1.4277457708952928,-496.0
1.150963695721246,-436.0
1.2904946868740255,-504.0
1.4516639359820265,-480.0
1.3219325600403322,-496.0
1.0801560124911291,-512.0
1.2953723970818831,-512.0
1.3150059222881993,-512.0
1.024627059963797,-512.0
1.2367447005284768,-504.0
1.0925896724767838,-512.0
1.2992385957788684,-512.0
1.4485166994483127,-512.0
1.4266847296711833,-504.0
1.1230333057524693,-504.0
1.305493773518314,-412.0
1.4371571826454037,-496.0
1.0149173850498487,-512.0
1.0973193539259838,-512.0
1.0124115658992863,-512.0
1.2031934307200354,-504.0
1.0598667942505613,-512.0
1.1734349022674184,-504.0
1.2194392198760262,-512.0
1.0560351854993488,-512.0
1.3158321995610325,-512.0
1.3415244766212273,-504.0
1.066051418650772,-512.0
1.4432014433618539,-512.0
1.062831926434268,-512.0
1.1992762533507704,-512.0
1.3080828500120607,-512.0
1.083486459953852,-512.0
1.2745721917998396,-424.0
1.3674465811551455,-504.0
1.3324254282960162,-512.0
1.1404481929820776,-488.0
1.4680217850244817,-512.0
1.0624618396528216,-512.0
1.2862289665610578,-496.0
1.169228241648663,-512.0
1.4294914302788568,-504.0
1.4764995663839908,-484.0
1.1697388771044515,-512.0
1.3246165776226544,-504.0
1.1322699055756555,-512.0
1.0997709964497453,-512.0
1.0258289585071996,-512.0
1.4943019492597882,-496.0
1.0108060399401653,-512.0
1.1569466849009946,-512.0
1.4637812755032538,-512.0
1.2172815423488452,-512.0
1.393716110992977,-504.0
1.4327282740278315,-504.0
1.289008607903771,-512.0
1.2858640261880376,-504.0
1.1649306061663927,-424.0
1.0701245444993055,-512.0
1.0089183919884939,-512.0
1.1537675362103932,-504.0
1.4010298934928622,-504.0
1.1045288293011208,-512.0
1.2045699888123986,-512.0
1.2062857846368402,-512.0
1.3843137947296895,-512.0
1.0481954810767498,-512.0
1.23968478206227,-404.0
1.3628578141357135,-504.0
1.3040646059572958,-504.0
1.4816056117746899,-492.0
1.4161299006976005,-488.0
1.3807162815920038,-504.0
1.4396000121538726,-488.0
1.0095170739087433,-504.0
1.1572253458721007,-504.0
1.4242802443868123,-504.0
1.3422810366968387,-504.0
1.1585694464113576,-512.0
1.2411517184714502,-504.0
1.0027149170643503,-512.0
1.1504743458904698,-512.0
1.1826892315995667,-512.0
